group,group_slug,authors,year,title,venue,doi,arxiv,status,landing_url,download_url,target_path,file_name,abstract_summary,why_it_matters,crossrefs,priority
H,H_market_microstructure_lob_execution,"Mehdi Fodra, Mauricio Labadie",2012,High-frequency market-making with inventory constraints and directional bets,arXiv,,1206.4810,FREE_DIRECT_PDF,https://arxiv.org/abs/1206.4810,https://arxiv.org/pdf/1206.4810,H_market_microstructure_lob_execution/papers/Fodra_2012_HFMarketMakingInventory.pdf,Fodra_2012_HFMarketMakingInventory.pdf,Studies high-frequency market making with inventory risk and directional expectations.,Useful extension of market-making models. Connects inventory constraints with directional views.,"N,G",2
H,H_market_microstructure_lob_execution,"Balakaeva, Veretennikov",2025,How to Correctly Apply Bellman Equation to Avellaneda-Stoikov Market-Making Model,arXiv,,2510.15988,FREE_DIRECT_PDF,https://arxiv.org/abs/2510.15988,https://arxiv.org/pdf/2510.15988,H_market_microstructure_lob_execution/papers/Balakaeva_2025_BellmanAvellanedaStoikov.pdf,Balakaeva_2025_BellmanAvellanedaStoikov.pdf,Revisits the Bellman-equation treatment of the Avellaneda-Stoikov model.,Recent correction/critique around a widely used market-making model. Useful because many implementations copy formulas without checking assumptions.,"G,N",3
J,J_andrew_lo_mit_lfe,Shunsuke Noda,2019,On the Evolution of Cryptocurrency Market Efficiency,Applied Economics Letters / arXiv,,1904.09403,FREE_DIRECT_PDF,https://arxiv.org/abs/1904.09403,https://arxiv.org/pdf/1904.09403,J_andrew_lo_mit_lfe/papers/Noda_2019_CryptoMarketEfficiencyAMH.pdf,Noda_2019_CryptoMarketEfficiencyAMH.pdf,Tests adaptive market efficiency in cryptocurrency markets.,Shows AMH-style testing in crypto. Useful for regime-specific market-efficiency analysis.,"P,R",3
J,J_andrew_lo_mit_lfe,Shunsuke Noda,2012,A Test of the Adaptive Market Hypothesis using a Time-Varying AR Model in Japan,arXiv,,1207.1842,FREE_DIRECT_PDF,https://arxiv.org/abs/1207.1842,https://arxiv.org/pdf/1207.1842,J_andrew_lo_mit_lfe/papers/Noda_2012_AMHJapanARModel.pdf,Noda_2012_AMHJapanARModel.pdf,Uses time-varying autoregression to test adaptive market behavior in Japan.,Example of testing AMH with time-varying predictability. Useful for building simple regime-drift diagnostics.,"R,M",3
K,K_asset_pricing_ml_frontier,"Luyang Chen, Markus Pelger, Jason Zhu",2024,Deep Learning in Asset Pricing,Journal of Financial Economics / arXiv,,1904.00745,FREE_DIRECT_PDF,https://arxiv.org/abs/1904.00745,https://arxiv.org/pdf/1904.00745,K_asset_pricing_ml_frontier/papers/Chen_2024_DeepLearningAssetPricing.pdf,Chen_2024_DeepLearningAssetPricing.pdf,Uses deep learning to estimate stochastic discount factors and expected returns.,Core deep-learning asset-pricing paper. It is a stronger baseline than generic LSTM trading demos.,"A,F,M",1
K,K_asset_pricing_ml_frontier,"Bryan T. Kelly, Boris Kuznetsov, Semyon Malamud, Teng Andrea Xu",2025,Artificial Intelligence Asset Pricing Models,NBER Working Paper 33351,10.3386/w33351,,FREE_DIRECT_PDF,https://www.nber.org/papers/w33351,https://www.nber.org/system/files/working_papers/w33351/w33351.pdf,K_asset_pricing_ml_frontier/papers/Kelly_2025_AIAssetPricingModels.pdf,Kelly_2025_AIAssetPricingModels.pdf,Applies transformer-based AI models to stochastic discount factor estimation.,Cross-listed from Group A because it is also the frontier AI asset-pricing anchor.,"A,F",1
K,K_asset_pricing_ml_frontier,"Matthew Dixon, Nicholas G. Polson, Maria Goicoechea",2022,Deep Partial Least Squares for Conditional Asset Pricing,arXiv,,2206.10014,FREE_DIRECT_PDF,https://arxiv.org/abs/2206.10014,https://arxiv.org/pdf/2206.10014,K_asset_pricing_ml_frontier/papers/Dixon_2022_DeepPartialLeastSquares.pdf,Dixon_2022_DeepPartialLeastSquares.pdf,Combines partial least squares ideas with deep learning for conditional asset pricing.,Useful method paper for high-dimensional conditional pricing. Relevant when feature space is large but economic interpretation matters.,M,2
K,K_asset_pricing_ml_frontier,Authors TBD,2025,Deep Learning for Conditional Asset Pricing Models,arXiv,,2509.04812,FREE_DIRECT_PDF,https://arxiv.org/abs/2509.04812,https://arxiv.org/pdf/2509.04812,K_asset_pricing_ml_frontier/papers/TBD_2025_DeepConditionalAssetPricing.pdf,TBD_2025_DeepConditionalAssetPricing.pdf,Applies deep-learning methods to conditional asset-pricing models.,"Recent conditional asset-pricing work. Use as frontier scan, not a primary foundation until authors/version are verified.",M,3
K,K_asset_pricing_ml_frontier,Authors TBD,2025,The Impact of Uncertainty in Machine Learning Predictions on Asset Pricing,arXiv,,2503.00549,FREE_DIRECT_PDF,https://arxiv.org/abs/2503.00549,https://arxiv.org/pdf/2503.00549,K_asset_pricing_ml_frontier/papers/TBD_2025_UncertaintyMLPredictionsAssetPricing.pdf,TBD_2025_UncertaintyMLPredictionsAssetPricing.pdf,Studies how predictive uncertainty from ML models affects asset-pricing conclusions.,"Useful because uncertainty estimates matter for sizing and risk, not just point forecasts.",M,3
L,L_options_volatility_stochastic_calculus,"D. Lemmens, L. Z. Cheng, S. Wang, A. L. Baaquie",2008,A Path Integral Approach to Option Pricing with Stochastic Volatility,arXiv,,0806.0932,FREE_DIRECT_PDF,https://arxiv.org/abs/0806.0932,https://arxiv.org/pdf/0806.0932,L_options_volatility_stochastic_calculus/papers/Lemmens_2008_PathIntegralOptionPricingSV.pdf,Lemmens_2008_PathIntegralOptionPricingSV.pdf,Applies path-integral methods to stochastic-volatility option pricing.,Useful as alternative mathematical machinery for option pricing. Not core for a trading startup unless modeling derivatives directly.,M,3
L,L_options_volatility_stochastic_calculus,"Hao, Li, Luong-Le",2024,"Option Pricing with Stochastic Volatility, Equity Premium, and Interest Rates",arXiv,,2408.15416,FREE_DIRECT_PDF,https://arxiv.org/abs/2408.15416,https://arxiv.org/pdf/2408.15416,L_options_volatility_stochastic_calculus/papers/Hao_2024_OptionPricingSVPremiumRates.pdf,Hao_2024_OptionPricingSVPremiumRates.pdf,"Studies option-pricing models incorporating stochastic volatility, equity premium, and interest rates.","Recent option-pricing scan. Useful for understanding models that combine volatility, equity risk premia, and rates.",M,3
M,M_risk_probability_statistical_modeling,"Peter Carr, Marcos Lopez de Prado",2014,Determining Optimal Trading Rules without Backtesting,arXiv,,1408.1159,FREE_DIRECT_PDF,https://arxiv.org/abs/1408.1159,https://arxiv.org/pdf/1408.1159,M_risk_probability_statistical_modeling/papers/Carr_2014_OptimalTradingRulesNoBacktesting.pdf,Carr_2014_OptimalTradingRulesNoBacktesting.pdf,Derives trading rules using analytical methods instead of traditional backtest selection.,Important because it attacks the usual backtest-mining loop. Useful for strategy design that starts from optimal stopping/control rather than brute-force search.,"O,G",2
M,M_risk_probability_statistical_modeling,Ratliff-Crain et al.,2023,Revisiting the Stylized Facts of Financial Time Series,arXiv,,2311.07738,FREE_DIRECT_PDF,https://arxiv.org/abs/2311.07738,https://arxiv.org/pdf/2311.07738,M_risk_probability_statistical_modeling/papers/al_2023_RevisitingStylizedFacts.pdf,al_2023_RevisitingStylizedFacts.pdf,Revisits empirical stylized facts of financial time series using modern data.,Recent audit of classic stylized facts. Useful because market microstructure and electronic trading may alter old empirical regularities.,"R,H",3
N,N_volume_order_flow_academic_microstructure,"Rama Cont, Arseniy Kukanov, Sasha Stoikov",2014,The Price Impact of Order Book Events,Journal of Financial Econometrics / arXiv,,1011.6402,FREE_DIRECT_PDF,https://arxiv.org/abs/1011.6402,https://arxiv.org/pdf/1011.6402,N_volume_order_flow_academic_microstructure/papers/Cont_2014_PriceImpactOrderBookEvents.pdf,Cont_2014_PriceImpactOrderBookEvents.pdf,Quantifies how different order-book events contribute to price impact.,Cross-listed because it is the academic version of order-flow imbalance. This is the paper to read before ICT-style claims.,"H,R",1
O,O_indicators_technical_analysis_academic,Kong et al.,2020,Pattern Recognition in Micro-Trading Behaviors before Stock Price Jumps,arXiv,,2011.04939,FREE_DIRECT_PDF,https://arxiv.org/abs/2011.04939,https://arxiv.org/pdf/2011.04939,O_indicators_technical_analysis_academic/papers/al_2020_MicroTradingPatternRecognition.pdf,al_2020_MicroTradingPatternRecognition.pdf,Studies patterns in micro-level trading behavior before price jumps.,Useful because it moves pattern recognition into micro-trading behavior rather than subjective chart labels.,"R,N",2
O,O_indicators_technical_analysis_academic,Pal,2024,Long Short-Term Memory Pattern Recognition in Currency Trading: Identifying Wyckoff Accumulation and Distribution Phases,arXiv,,2403.18839,FREE_DIRECT_PDF,https://arxiv.org/abs/2403.18839,https://arxiv.org/pdf/2403.18839,O_indicators_technical_analysis_academic/papers/Pal_2024_LSTMWyckoffCurrency.pdf,Pal_2024_LSTMWyckoffCurrency.pdf,Uses LSTM-style pattern recognition for currency-trading phases inspired by Wyckoff concepts.,Interesting but lower-anchor quality. Treat as an example of trying to operationalize discretionary pattern concepts with sequence models.,R,4
P,P_prediction_markets_ai_forecasting,Tadasco et al.,2025,"Fake Prediction Markets, Real Confidence Signals",arXiv,,2512.05998,FREE_DIRECT_PDF,https://arxiv.org/abs/2512.05998,https://arxiv.org/pdf/2512.05998,P_prediction_markets_ai_forecasting/papers/al_2025_FakePredictionMarketsConfidence.pdf,al_2025_FakePredictionMarketsConfidence.pdf,Studies whether simulated/fake prediction markets can still reveal confidence signals.,Recent AI/prediction-market frontier paper. Useful for separating market format from the confidence signal extracted from participants.,"F,R",3
P,P_prediction_markets_ai_forecasting,Le et al.,2026,Decomposing Crowd Wisdom: Effects of Investor Beliefs and Strategies on Kalshi and Polymarket,arXiv,,2602.19520,FREE_DIRECT_PDF,https://arxiv.org/abs/2602.19520,https://arxiv.org/pdf/2602.19520,P_prediction_markets_ai_forecasting/papers/al_2026_CrowdWisdomKalshiPolymarket.pdf,al_2026_CrowdWisdomKalshiPolymarket.pdf,Analyzes crowd wisdom in Kalshi and Polymarket using trader beliefs and strategies.,Current and directly relevant to real prediction markets. Useful for comparing belief aggregation versus strategy effects.,"E,F",2
P,P_prediction_markets_ai_forecasting,Zhang et al.,2026,Prediction Arena: A Benchmark for LLM Forecasting over Prediction Markets,arXiv,,2604.07355,FREE_DIRECT_PDF,https://arxiv.org/abs/2604.07355,https://arxiv.org/pdf/2604.07355,P_prediction_markets_ai_forecasting/papers/al_2026_PredictionArena.pdf,al_2026_PredictionArena.pdf,Benchmarks LLM forecasting performance on prediction-market-style tasks.,Useful benchmark reference for LLM forecasting. It ties AI forecasting to market-like evaluation.,F,2
P,P_prediction_markets_ai_forecasting,"Yu, Li, You",2025,LiveTradeBench: Benchmarking LLMs on Real-Time Financial Forecasting and Trading,arXiv,,2511.03628,FREE_DIRECT_PDF,https://arxiv.org/abs/2511.03628,https://arxiv.org/pdf/2511.03628,P_prediction_markets_ai_forecasting/papers/Yu_2025_LiveTradeBench.pdf,Yu_2025_LiveTradeBench.pdf,Benchmarks LLMs on real-time financial forecasting and trading tasks.,Important because static benchmark results are weaker than real-time forecasting. Useful for live evaluation harness design.,"F,M",2
R,R_pattern_recognition_markets_macro_micro_ai,Kong et al.,2020,Pattern Recognition in Micro-Trading Behaviors before Stock Price Jumps,arXiv,,2011.04939,FREE_DIRECT_PDF,https://arxiv.org/abs/2011.04939,https://arxiv.org/pdf/2011.04939,R_pattern_recognition_markets_macro_micro_ai/papers/al_2020_MicroTradingPatternRecognition.pdf,al_2020_MicroTradingPatternRecognition.pdf,Studies micro-trading behavior patterns preceding price jumps.,Best fit for rigorous pattern recognition at micro level. It focuses on observable behavior before jumps rather than discretionary chart annotation.,"O,N",1
R,R_pattern_recognition_markets_macro_micro_ai,Nakagawa et al.,2024,Replicating Financial Market Dynamics with a Simple Self-Improvement Mechanism for AI Traders,arXiv,,2409.12516,FREE_DIRECT_PDF,https://arxiv.org/abs/2409.12516,https://arxiv.org/pdf/2409.12516,R_pattern_recognition_markets_macro_micro_ai/papers/al_2024_AITradersMicrofoundationsGARCH.pdf,al_2024_AITradersMicrofoundationsGARCH.pdf,Uses AI traders in a multi-agent market model to reproduce stylized market dynamics.,Useful for agent-based market simulation. It links trader learning behavior to emergent market dynamics such as volatility clustering.,"F,P,M",2
R,R_pattern_recognition_markets_macro_micro_ai,Yukihiro Mizuta,2019,An Agent-Based Model for Designing a Financial Market that Works Well,arXiv,,1906.06000,FREE_DIRECT_PDF,https://arxiv.org/abs/1906.06000,https://arxiv.org/pdf/1906.06000,R_pattern_recognition_markets_macro_micro_ai/papers/Mizuta_2019_ABMDesignFinancialMarket.pdf,Mizuta_2019_ABMDesignFinancialMarket.pdf,Uses agent-based modeling to study financial-market design and dynamics.,Useful for connecting micro decision rules to market-level outcomes. Relevant for simulation-first quant research.,"P,F",3
R,R_pattern_recognition_markets_macro_micro_ai,Pal,2024,Long Short-Term Memory Pattern Recognition in Currency Trading,arXiv,,2403.18839,FREE_DIRECT_PDF,https://arxiv.org/abs/2403.18839,https://arxiv.org/pdf/2403.18839,R_pattern_recognition_markets_macro_micro_ai/papers/Pal_2024_LSTMWyckoffCurrency.pdf,Pal_2024_LSTMWyckoffCurrency.pdf,Uses LSTMs to identify Wyckoff-style accumulation/distribution phases in currency data.,"Lower priority example of applying sequence models to classical pattern language. Use only as a sandbox idea, not as evidence of robust edge.",O,4
